工單號,建立日期,客戶,問題類別,優先級,負責人,解決日期,CSAT評分
TKT-2501001,2025-01-06,富邦金控,系統登入異常,高,吳俊傑,2025-01-06,5
TKT-2501002,2025-01-09,廣達電腦,API 整合錯誤,中,陳建志,2025-01-13,4
TKT-2501003,2025-01-15,台灣大哥大,效能瓶頸,高,黃建宏,2025-01-17,4
TKT-2501004,2025-01-20,統一超商,報表匯出失敗,低,林佩珊,2025-01-22,5
TKT-2502001,2025-02-03,長榮航空,資料同步延遲,緊急,吳俊傑,2025-02-03,3
TKT-2502002,2025-02-10,鴻海精密,授權憑證過期,高,張文雄,2025-02-11,5
TKT-2502003,2025-02-14,中信金控,使用者權限設定,中,劉麗華,2025-02-18,4
TKT-2502004,2025-02-20,台達電子,儀表板顯示異常,低,陳建志,2025-02-25,4
TKT-2503001,2025-03-03,富邦金控,MFA 設定問題,中,吳俊傑,2025-03-04,5
TKT-2503002,2025-03-07,玉山金控,批次匯入失敗,高,蔡宏偉,2025-03-08,4
TKT-2503003,2025-03-12,研華科技,通知郵件未發送,低,林佩珊,2025-03-14,3
TKT-2503004,2025-03-18,奇美實業,SSL 憑證警告,高,黃建宏,2025-03-18,5
TKT-2503005,2025-03-25,廣達電腦,資料庫連線逾時,緊急,陳建志,2025-03-25,4
